Country	Region	Hemisphere	HappinessScore	HDI	GDP_PerCapita	Beer_PerCapita	Spirit_PerCapita	Wine_PerCapita
Latvia	Central and Eastern Europe	north	5.56	844	14.07	281	216	62
Chile	Latin America and Caribbean	south	6.705	842	13.961	130	124	172
Hungary	Central and Eastern Europe	north	5.145	835	12.82	234	215	185
Argentina	Latin America and Caribbean	south	6.65	822	12.654	193	25	221
Poland	Central and Eastern Europe	north	5.835	860	12.415	343	215	56
Croatia	Central and Eastern Europe	north	5.488	828	12.299	230	87	254
Costa Rica	Latin America and Caribbean	north	7.087	791	11.733	149	87	11
Turkey	Middle East and Northern Africa	north	5.389	787	10.863	51	22	7
Mauritius	Sub-Saharan Africa	north	5.648	788	9.682	98	31	18
Romania	Central and Eastern Europe	north	5.528	807	9.532	297	122	167
Russian Federation	Central and Eastern Europe	north	5.856	815	8.748	247	326	73
Brazil	Latin America and Caribbean	both	6.952	758	8.639	245	145	16
Mexico	Latin America and Caribbean	north	6.778	772	8.444	238	68	5
Lebanon	Middle East and Northern Africa	north	5.129	753	8.257	20	55	31
China	Eastern Asia	noth	5.245	748	8.117	79	192	8
Kazakhstan	Central and Eastern Europe	north	5.919	797	7.715	124	246	12
Bulgaria	Central and Eastern Europe	north	4.217	810	7.469	231	252	94
Gabon	Sub-Saharan Africa	south	4.121	698	7.079	347	98	59
Montenegro	Central and Eastern Europe	north	5.161	810	7.029	31	114	128
Botswana	Sub-Saharan Africa	south	3.974	712	6.954	173	35	35
Dominican Republic	Latin America and Caribbean	north	5.155	733	6.794	193	147	9
Turkmenistan	Central and Eastern Europe	north	5.658	705	6.389	19	71	32
Peru	Latin America and Caribbean	both	5.743	748	6.031	163	160	21
Ecuador	Latin America and Caribbean	both	5.976	749	6.019	162	74	3
Thailand	Southeastern Asia	north	6.474	748	5.979	99	258	1
Suriname	Latin America and Caribbean	north	6.269	719	5.871	128	178	7
Colombia	Latin America and Caribbean	both	6.481	747	5.757	159	76	3
Serbia	Central and Eastern Europe	north	5.177	785	5.426	283	131	127
South Africa	Sub-Saharan Africa	south	4.459	696	5.28	225	76	81
Belarus	Central and Eastern Europe	north	5.802	805	5.023	142	373	42
Belize	Latin America and Caribbean	north	5.956	709	4.96	263	114	8
Jamaica	Latin America and Caribbean	north	5.51	732	4.879	82	97	9
Macedonia	Central and Eastern Europe	north	5.121	756	4.834	106	27	86
Bosnia and Herzegovina	Central and Eastern Europe	north	5.163	766	4.809	76	173	8
Namibia	Sub-Saharan Africa	south	4.574	645	4.561	376	3	1
Guatemala	Latin America and Caribbean	north	6.324	649	4.141	53	69	2
Albania	Central and Eastern Europe	north	4.655	782	4.132	89	132	54
Jordan	Middle East and Northern Africa	north	5.303	735	4.088	6	21	1
Paraguay	Latin America and Caribbean	south	5.538	702	4.078	213	117	74
Azerbaijan	Central and Eastern Europe	north	5.291	757	3.881	21	46	5
Georgia	Central and Eastern Europe	north	4.252	776	3.866	52	100	149
El Salvador	Latin America and Caribbean	north	6.068	679	3.769	52	69	2
Mongolia	Eastern Asia	noth	4.907	743	3.694	77	189	8
Tunisia	Middle East and Northern Africa	north	5.045	732	3.689	51	3	20
Armenia	Central and Eastern Europe	north	4.36	749	3.606	21	179	11
Egypt	Middle East and Northern Africa	north	4.362	694	3.548	6	4	1
Angola	Sub-Saharan Africa	south	3.866	577	3.309	217	57	45
Bolivia	Latin America and Caribbean	south	5.822	689	3.117	167	41	8
Philippines	Southeastern Asia	north	5.279	696	2.951	71	186	1
Morocco	Middle East and Northern Africa	north	5.151	662	2.893	12	6	10
Honduras	Latin America and Caribbean	north	4.871	614	2.375	69	98	2
Ukraine	Central and Eastern Europe	north	4.324	746	2.186	206	237	45
Nigeria	Sub-Saharan Africa	north	4.875	530	2.176	42	5	2
Vietnam	Southeastern Asia	north	5.061	689	2.171	111	2	1
Nicaragua	Latin America and Caribbean	north	5.992	657	2.144	78	118	1
Uzbekistan	Central and Eastern Europe	north	5.987	703	2.106	25	101	8
Syria	Middle East and Northern Africa	north	3.069	536	2.058	5	35	16
Moldova	Central and Eastern Europe	north	5.897	697	1.913	109	226	18
Dem. Rep. Congo	Sub-Saharan Africa	south	4.272	452	1.712	32	3	1
Cote d'Ivoire	Sub-Saharan Africa	north	3.916	486	1.535	37	1	7
Ghana	Sub-Saharan Africa	north	4.276	588	1.517	31	3	10
Kenya	Sub-Saharan Africa	both	4.356	585	1.463	58	22	2
Cameroon	Sub-Saharan Africa	south	4.513	553	1.375	147	1	4
Cambodia	Southeastern Asia	north	3.907	576	1.27	57	65	1
Zambia	Sub-Saharan Africa	south	4.795	586	1.263	32	19	4
Kyrgyzstan	Central and Eastern Europe	north	5.185	669	1.22	31	97	6
Zimbabwe	Sub-Saharan Africa	south	4.193	532	1.029	64	18	4
